frame_id,dataset,source_video_id,frame_seconds,width,height,assigned_quota,assigned_batch_id,time_of_day,weather,lighting_type,is_indoor,people_count_bucket,has_clearly_visible_person,has_open_floor_or_ground_space,person_holding_object,has_wall_signage_visible,has_traffic_light_visible,traffic_light_state,has_stop_sign_visible,has_road_sign_visible,has_clear_road_ahead,vehicle_count_in_scene,has_visible_damage,has_undamaged_surface_target,has_handheld_object_visible,has_open_surface_space,family,tier,pool,assigned_variant,assigned_prompt_template,assigned_prompt_filled,flagged,flagged_reason,hero_candidate,target_time,target_weather,target_lighting,target_crowd,param_location,param_activity,param_clothing,param_original_object,param_new_object,param_person_reference,param_signage_type,param_current_color,param_target_color,param_hazard_type,param_vehicle_description,param_damage_type,param_surface_type,param_object_description,param_scene_type,param_time,param_count,param_setting,param_weather,param_traffic_density,param_scene,param_subject,t1_subtype,t2_subtype,assigned_item_id
bdd100k_07707e5b-6952cdb1_train_id,bdd100k,,,1280,720,dashcam_T2_train_has_traffic_light_visible,dashcam_train_T2,night,indeterminate,mixed,0,empty,0,1,,,1,none,0,1,0,4,,,,,dashcam,T2,train,B,X-T2-LIGHT-COLOR-DSH,[FLAGGED: no current traffic light color],1,traffic_light_state='none' — cannot determine current color,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIGHT-COLOR,item_00342_dashcam_T2_train_B
bdd100k_07764b8b-6db4a0f4,bdd100k,,,1280,720,dashcam_T1_train,dashcam_train_T1,golden_hour,clear,daylight,0,sparse,1,1,,,1,green,0,1,0,12,,,,,dashcam,T1,train,A,X-T1-CROWD-DSH,"Change the number of people visible in this dashcam still from approximately sparse to approximately empty. Remove people from less-prominent areas of the scene first consistent with the setting. Keep the existing scene composition, lighting, and all non-person elements (vehicles, structures, objects, signage) exactly as they appear. Any people added or kept should match the lighting, scale, and style of the original. Make it look as photorealistic as possible. Don't change any details of the original photo other than the people count.",0,,0,,,,empty,,,,,,,,,,,,,,,,,,,,,,,CROWD,,item_00287_dashcam_T1_train_A
bdd100k_088e1da1-4db9234b,bdd100k,,,1280,720,dashcam_T2_train_has_stop_sign_visible,dashcam_train_T2,midday,clear,daylight,0,sparse,1,1,,,1,red,1,1,1,2,,,,,dashcam,T2,train,A,X-T2-REMOVE-SIGN-DSH,"Remove the stop sign located at approximately the right side of the road ahead from this dashcam still. Fill the area with sky, pole, or background as appropriate. Keep all vehicles, road markings, traffic lights, pedestrians, and other signage exactly as they appear. Make it look as photorealistic as possible. The image should appear as if that sign had never been installed at that location.",0,,0,,,,,the right side of the road ahead,,,,,,,,,,,,,,,,,,,,,,,REMOVE-SIGN-DSH,item_00360_dashcam_T2_train_A
bdd100k_092b387a-67a64a9b_train_color,bdd100k,,,1280,720,dashcam_T1_train,dashcam_train_T1,indeterminate,indeterminate,indeterminate,0,sparse,1,1,,,0,none,0,0,0,6,,,,,dashcam,T1,train,A,X-T1-LIGHTING-DSH,"Change the lighting in this dashcam still from the current lighting to dim. Adjust color temperature, contrast, and brightness throughout the image. Do not change the time of day or weather. Keep all people, vehicles, objects, structures, and signage exactly as they appear. Make it look as photorealistic as possible. Change as little as possible beyond the lighting. Don't change any details of the original photo other than the lighting.",0,,0,,,dim,,,,,,,,,,,,,,,,,,,,,,,,LIGHTING,,item_00302_dashcam_T1_train_A
bdd100k_092b55ac-e2622217,bdd100k,,,1280,720,dashcam_T1_train,dashcam_train_T1,golden_hour,clear,daylight,0,sparse,0,1,,,1,red,0,1,0,5,,,,,dashcam,T1,train,B,X-T1-LIGHTING-DSH,"Change the lighting in this dashcam still from daylight to sodium vapor. Adjust color temperature, contrast, and brightness throughout the image. Do not change the time of day or weather. Keep all people, vehicles, objects, structures, and signage exactly as they appear. Make it look as photorealistic as possible. Change as little as possible beyond the lighting. Don't change any details of the original photo other than the lighting.",0,,0,,,sodium vapor,,,,,,,,,,,,,,,,,,,,,,,,LIGHTING,,item_00270_dashcam_T1_train_B
bdd100k_0aa458f0-e93896a2,bdd100k,,,1280,720,dashcam_T1_train,dashcam_train_T1,dusk,clear,daylight,0,empty,0,1,,,1,green,0,1,0,5,,,,,dashcam,T1,train,A,X-T1-TIME-DSH,"Shift the time of day in this dashcam still from dusk to night. Adjust lighting, shadow direction, sky color, and ambient brightness to match night. Keep all people, vehicles, objects, structures, and signage exactly as they appear in the original image — same positions, same poses, same details. Make it look as photorealistic as possible. Change as little as possible beyond the lighting and time-of-day cues. Don't change any details of the original photo other than what's needed for the time shift.",0,,0,night,,,,,,,,,,,,,,,,,,,,,,,,,,TIME,,item_00272_dashcam_T1_train_A
bdd100k_0b2867ef-da37e1d5,bdd100k,,,1280,720,dashcam_T2_train_has_stop_sign_visible,dashcam_train_T2,night,clear,sodium_vapor,0,sparse,1,1,,,0,none,1,1,1,6,,,,,dashcam,T2,train,A,X-T2-REMOVE-SIGN-DSH,"Remove the stop sign located at approximately the right side of the road ahead from this dashcam still. Fill the area with sky, pole, or background as appropriate. Keep all vehicles, road markings, traffic lights, pedestrians, and other signage exactly as they appear. Make it look as photorealistic as possible. The image should appear as if that sign had never been installed at that location.",0,,0,,,,,the right side of the road ahead,,,,,,,,,,,,,,,,,,,,,,,REMOVE-SIGN-DSH,item_00372_dashcam_T2_train_A
bdd100k_0b6f7a4e-b66b27aa,bdd100k,,,1280,720,dashcam_T2_train_has_stop_sign_visible,dashcam_train_T2,night,indeterminate,mixed,0,empty,0,1,,,0,none,1,1,1,0,,,,,dashcam,T2,train,B,X-T2-REMOVE-SIGN-DSH,"Remove the stop sign located at approximately near the front of the vehicle from this dashcam still. Fill the area with sky, pole, or background as appropriate. Keep all vehicles, road markings, traffic lights, pedestrians, and other signage exactly as they appear. Make it look as photorealistic as possible. The image should appear as if that sign had never been installed at that location.",0,,0,,,,,near the front of the vehicle,,,,,,,,,,,,,,,,,,,,,,,REMOVE-SIGN-DSH,item_00370_dashcam_T2_train_B
bdd100k_0b796e55-0d102bd0_train_id,bdd100k,,,1280,720,dashcam_T1_train,dashcam_train_T1,night,indeterminate,dim,0,empty,0,0,,,0,none,0,0,0,3,,,,,dashcam,T1,train,A,X-T1-CROWD-DSH,"Change the number of people visible in this dashcam still from approximately empty to approximately sparse. Add additional people consistent with the setting. Keep the existing scene composition, lighting, and all non-person elements (vehicles, structures, objects, signage) exactly as they appear. Any people added or kept should match the lighting, scale, and style of the original. Make it look as photorealistic as possible. Don't change any details of the original photo other than the people count.",0,,0,,,,sparse,,,,,,,,,,,,,,,,,,,,,,,CROWD,,item_00311_dashcam_T1_train_A
bdd100k_0cc71303-887ac35f,bdd100k,,,1280,720,dashcam_T2_train_has_traffic_light_visible,dashcam_train_T2,night,clear,mixed,0,empty,0,1,,,1,green,0,0,0,4,,,,,dashcam,T2,train,C,X-T2-LIGHT-COLOR-DSH,"In this dashcam still, change the color of the traffic light at approximately the intersection ahead from green to red. Adjust the glow and reflection on nearby surfaces (wet pavement, the hood of the vehicle, surrounding signs) to match the new color. Keep all vehicles, road markings, signage, pedestrians, and background exactly as they appear. Make it look as photorealistic as possible. The image should appear exactly as it would have if the light had simply been showing red.",0,,0,,,,,,,,,,,,green,red,,,,,,,,,,,,,,,LIGHT-COLOR,item_00343_dashcam_T2_train_C
bdd100k_0d03369b-084a5107,bdd100k,,,1280,720,dashcam_T1_test,dashcam_test_T1,midday,overcast,daylight,0,empty,0,1,,,0,none,0,1,0,8,,,,,dashcam,T1,test,A,X-T1-TIME-DSH,"Shift the time of day in this dashcam still from midday to night. Adjust lighting, shadow direction, sky color, and ambient brightness to match night. Keep all people, vehicles, objects, structures, and signage exactly as they appear in the original image — same positions, same poses, same details. Make it look as photorealistic as possible. Change as little as possible beyond the lighting and time-of-day cues. Don't change any details of the original photo other than what's needed for the time shift.",0,,0,night,,,,,,,,,,,,,,,,,,,,,,,,,,TIME,,item_00416_dashcam_T1_test_A
bdd100k_0d76ff16-38ba1d70,bdd100k,,,1280,720,dashcam_T1_test,dashcam_test_T1,midday,overcast,daylight,0,empty,0,1,,,0,none,0,1,1,8,,,,,dashcam,T1,test,C,X-T1-WEATHER-DSH,"Change the weather in this dashcam still from overcast to fog. Add ground-level fog and reduced visibility consistent with fog. Adjust lighting, sky, and ground appearance to match. Keep all people, vehicles, objects, structures, and signage exactly as they appear in the original image. Make it look as photorealistic as possible. Change as little as possible beyond what the weather change requires. Don't change any details of the original photo other than the weather.",0,,0,,fog,,,,,,,,,,,,,,,,,,,,,,,,,WEATHER,,item_00421_dashcam_T1_test_C
bdd100k_0d9ca9fa-0b4a0ddf,bdd100k,,,1280,720,dashcam_T2_train_has_stop_sign_visible,dashcam_train_T2,night,light_rain,mixed,0,sparse,1,1,,,1,green,1,1,0,3,,,,,dashcam,T2,train,C,X-T2-REMOVE-SIGN-DSH,"Remove the stop sign located at approximately near the front of the vehicle from this dashcam still. Fill the area with sky, pole, or background as appropriate. Keep all vehicles, road markings, traffic lights, pedestrians, and other signage exactly as they appear. Make it look as photorealistic as possible. The image should appear as if that sign had never been installed at that location.",0,,0,,,,,near the front of the vehicle,,,,,,,,,,,,,,,,,,,,,,,REMOVE-SIGN-DSH,item_00374_dashcam_T2_train_C
bdd100k_0da39fcf-5b32d869,bdd100k,,,1280,720,dashcam_T2_train_has_traffic_light_visible,dashcam_train_T2,night,clear,mixed,0,empty,0,1,,,1,red,0,1,1,12,,,,,dashcam,T2,train,C,X-T2-LIGHT-COLOR-DSH,"In this dashcam still, change the color of the traffic light at approximately the intersection ahead from red to green. Adjust the glow and reflection on nearby surfaces (wet pavement, the hood of the vehicle, surrounding signs) to match the new color. Keep all vehicles, road markings, signage, pedestrians, and background exactly as they appear. Make it look as photorealistic as possible. The image should appear exactly as it would have if the light had simply been showing green.",0,,0,,,,,,,,,,,,red,green,,,,,,,,,,,,,,,LIGHT-COLOR,item_00355_dashcam_T2_train_C
bdd100k_0ff5ca7b-28016d88,bdd100k,,,1280,720,dashcam_T2_test_has_clear_road_ahead,dashcam_test_T2,midday,clear,daylight,0,empty,0,1,,,0,none,0,1,1,6,,,,,dashcam,T2,test,C,X-T2-ADD-HAZARD-DSH,"Add a fallen branch to the roadway in this dashcam still, positioned at approximately the center of the lane ahead. The hazard should appear at a scale and perspective consistent with the road surface and surrounding scene. Match the lighting, shadow direction, and weather of the original image. Keep all vehicles, road markings, signage, traffic lights, and pedestrians exactly as they appear. Make it look as photorealistic as possible. The hazard should look as if it had always been in that position.",0,,0,,,,,the center of the lane ahead,,,,,,,,,fallen branch,,,,,,,,,,,,,,ADD-HAZARD,item_00440_dashcam_T2_test_C
bdd100k_10af6ba8-b3c25efe,bdd100k,,,1280,720,dashcam_T1_train,dashcam_train_T1,night,clear,sodium_vapor,0,moderate,1,1,,,1,green,0,1,0,6,,,,,dashcam,T1,train,A,X-T1-WEATHER-DSH,"Change the weather in this dashcam still from clear to light snow. Add falling snow and light snow accumulation consistent with light snow. Adjust lighting, sky, and ground appearance to match. Keep all people, vehicles, objects, structures, and signage exactly as they appear in the original image. Make it look as photorealistic as possible. Change as little as possible beyond what the weather change requires. Don't change any details of the original photo other than the weather.",0,,0,,light snow,,,,,,,,,,,,,,,,,,,,,,,,,WEATHER,,item_00281_dashcam_T1_train_A
bdd100k_10bd263e-adb5a5d3,bdd100k,,,1280,720,dashcam_T2_train_vehicle_count_in_scene,dashcam_train_T2,night,light_rain,mixed,0,empty,0,1,,,0,none,0,1,0,3,,,,,dashcam,T2,train,B,X-T2-REMOVE-VEHICLE-DSH,"Remove the parked vehicle visible in the scene from this dashcam still. Fill the area with road surface, lane markings, sky, or background as appropriate, consistent with what would be visible if that vehicle were not there. Keep all other vehicles, road markings, signage, traffic lights, and pedestrians exactly as they appear. Make it look as photorealistic as possible.",0,,0,,,,,,,,,,,,,,,the parked vehicle visible in the scene,,,,,,,,,,,,,REMOVE-VEHICLE,item_00383_dashcam_T2_train_B
bdd100k_11035230-13dbc015,bdd100k,,,1280,720,dashcam_T1_train,dashcam_train_T1,indeterminate,light_rain,mixed,0,empty,0,1,,,1,green,0,1,0,3,,,,,dashcam,T1,train,A,X-T1-CROWD-DSH,"Change the number of people visible in this dashcam still from approximately empty to approximately sparse. Add additional people consistent with the setting. Keep the existing scene composition, lighting, and all non-person elements (vehicles, structures, objects, signage) exactly as they appear. Any people added or kept should match the lighting, scale, and style of the original. Make it look as photorealistic as possible. Don't change any details of the original photo other than the people count.",0,,0,,,,sparse,,,,,,,,,,,,,,,,,,,,,,,CROWD,,item_00299_dashcam_T1_train_A
bdd100k_11bfabe9-e7da488f,bdd100k,,,1280,720,dashcam_T1_test,dashcam_test_T1,night,clear,sodium_vapor,0,empty,0,1,,,0,none,0,0,0,10,,,,,dashcam,T1,test,C,X-T1-LIGHTING-DSH,"Change the lighting in this dashcam still from sodium vapor to mixed. Adjust color temperature, contrast, and brightness throughout the image. Do not change the time of day or weather. Keep all people, vehicles, objects, structures, and signage exactly as they appear. Make it look as photorealistic as possible. Change as little as possible beyond the lighting. Don't change any details of the original photo other than the lighting.",0,,0,,,mixed,,,,,,,,,,,,,,,,,,,,,,,,LIGHTING,,item_00430_dashcam_T1_test_C
bdd100k_133a443d-013025ee,bdd100k,,,1280,720,dashcam_T1_test,dashcam_test_T1,midday,clear,daylight,0,empty,0,1,,,1,green,0,0,1,7,,,,,dashcam,T1,test,B,X-T1-LIGHTING-DSH,"Change the lighting in this dashcam still from daylight to mixed. Adjust color temperature, contrast, and brightness throughout the image. Do not change the time of day or weather. Keep all people, vehicles, objects, structures, and signage exactly as they appear. Make it look as photorealistic as possible. Change as little as possible beyond the lighting. Don't change any details of the original photo other than the lighting.",0,,0,,,mixed,,,,,,,,,,,,,,,,,,,,,,,,LIGHTING,,item_00414_dashcam_T1_test_B
bdd100k_143c8b69-66143439,bdd100k,,,1280,720,dashcam_T2_test_has_traffic_light_visible,dashcam_test_T2,midday,overcast,daylight,0,sparse,0,1,,,1,green,0,1,1,12,,,,,dashcam,T2,test,C,X-T2-LIGHT-COLOR-DSH,"In this dashcam still, change the color of the traffic light at approximately the intersection ahead from green to red. Adjust the glow and reflection on nearby surfaces (wet pavement, the hood of the vehicle, surrounding signs) to match the new color. Keep all vehicles, road markings, signage, pedestrians, and background exactly as they appear. Make it look as photorealistic as possible. The image should appear exactly as it would have if the light had simply been showing red.",0,,0,,,,,,,,,,,,green,red,,,,,,,,,,,,,,,LIGHT-COLOR,item_00452_dashcam_T2_test_C
bdd100k_18a439d8-12d3f187_train_id,bdd100k,,,1280,720,dashcam_T1_train,dashcam_train_T1,night,indeterminate,dim,0,empty,0,1,,,0,none,0,0,0,0,,,,,dashcam,T1,train,B,X-T1-LIGHTING-DSH,"Change the lighting in this dashcam still from dim to bright. Adjust color temperature, contrast, and brightness throughout the image. Do not change the time of day or weather. Keep all people, vehicles, objects, structures, and signage exactly as they appear. Make it look as photorealistic as possible. Change as little as possible beyond the lighting. Don't change any details of the original photo other than the lighting.",0,,0,,,bright,,,,,,,,,,,,,,,,,,,,,,,,LIGHTING,,item_00246_dashcam_T1_train_B
bdd100k_1939078d-3b44186a,bdd100k,,,1280,720,dashcam_T2_test_vehicle_count_in_scene,dashcam_test_T2,night,clear,mixed,0,empty,0,1,,,0,none,0,0,0,5,,,,,dashcam,T2,test,A,X-T2-REMOVE-VEHICLE-DSH,"Remove the vehicle in the next lane from this dashcam still. Fill the area with road surface, lane markings, sky, or background as appropriate, consistent with what would be visible if that vehicle were not there. Keep all other vehicles, road markings, signage, traffic lights, and pedestrians exactly as they appear. Make it look as photorealistic as possible.",0,,0,,,,,,,,,,,,,,,the vehicle in the next lane,,,,,,,,,,,,,REMOVE-VEHICLE,item_00474_dashcam_T2_test_A
bdd100k_1c3c05ee-cbc10be6,bdd100k,,,1280,720,dashcam_T1_test,dashcam_test_T1,night,clear,sodium_vapor,0,empty,0,1,,,0,none,0,1,0,3,,,,,dashcam,T1,test,A,X-T1-CROWD-DSH,"Change the number of people visible in this dashcam still from approximately empty to approximately busy. Add additional people consistent with the setting. Keep the existing scene composition, lighting, and all non-person elements (vehicles, structures, objects, signage) exactly as they appear. Any people added or kept should match the lighting, scale, and style of the original. Make it look as photorealistic as possible. Don't change any details of the original photo other than the people count.",0,,0,,,,busy,,,,,,,,,,,,,,,,,,,,,,,CROWD,,item_00419_dashcam_T1_test_A
bdd100k_1ebca830-d04fa3a1,bdd100k,,,1280,720,dashcam_T2_train_has_traffic_light_visible,dashcam_train_T2,midday,overcast,daylight,0,sparse,0,1,,,1,green,0,1,0,7,,,,,dashcam,T2,train,B,X-T2-LIGHT-COLOR-DSH,"In this dashcam still, change the color of the traffic light at approximately the intersection ahead from green to red. Adjust the glow and reflection on nearby surfaces (wet pavement, the hood of the vehicle, surrounding signs) to match the new color. Keep all vehicles, road markings, signage, pedestrians, and background exactly as they appear. Make it look as photorealistic as possible. The image should appear exactly as it would have if the light had simply been showing red.",0,,0,,,,,,,,,,,,green,red,,,,,,,,,,,,,,,LIGHT-COLOR,item_00357_dashcam_T2_train_B
bdd100k_1fbf36a7-a3dcfa33,bdd100k,,,1280,720,dashcam_T1_test,dashcam_test_T1,night,clear,mixed,0,empty,0,1,,,1,green,0,1,0,8,,,,,dashcam,T1,test,A,X-T1-LIGHTING-DSH,"Change the lighting in this dashcam still from mixed to sodium vapor. Adjust color temperature, contrast, and brightness throughout the image. Do not change the time of day or weather. Keep all people, vehicles, objects, structures, and signage exactly as they appear. Make it look as photorealistic as possible. Change as little as possible beyond the lighting. Don't change any details of the original photo other than the lighting.",0,,0,,,sodium vapor,,,,,,,,,,,,,,,,,,,,,,,,LIGHTING,,item_00434_dashcam_T1_test_A
bdd100k_209a67f9-15be67d1,bdd100k,,,1280,720,dashcam_T2_test_has_stop_sign_visible,dashcam_test_T2,midday,clear,daylight,0,empty,0,1,,,1,red,1,1,0,7,,,,,dashcam,T2,test,A,X-T2-REMOVE-SIGN-DSH,"Remove the stop sign located at approximately the intersection ahead from this dashcam still. Fill the area with sky, pole, or background as appropriate. Keep all vehicles, road markings, traffic lights, pedestrians, and other signage exactly as they appear. Make it look as photorealistic as possible. The image should appear as if that sign had never been installed at that location.",0,,0,,,,,the intersection ahead,,,,,,,,,,,,,,,,,,,,,,,REMOVE-SIGN-DSH,item_00465_dashcam_T2_test_A
bdd100k_20b07991-0e8a9622,bdd100k,,,1280,720,dashcam_T2_train_vehicle_count_in_scene,dashcam_train_T2,midday,clear,daylight,0,sparse,1,1,,,0,none,0,1,0,7,,,,,dashcam,T2,train,A,X-T2-REMOVE-VEHICLE-DSH,"Remove the vehicle on the right shoulder from this dashcam still. Fill the area with road surface, lane markings, sky, or background as appropriate, consistent with what would be visible if that vehicle were not there. Keep all other vehicles, road markings, signage, traffic lights, and pedestrians exactly as they appear. Make it look as photorealistic as possible.",0,,0,,,,,,,,,,,,,,,the vehicle on the right shoulder,,,,,,,,,,,,,REMOVE-VEHICLE,item_00394_dashcam_T2_train_A
bdd100k_21ce51f8-188e787b,bdd100k,,,1280,720,dashcam_T1_test,dashcam_test_T1,night,clear,mixed,0,empty,0,1,,,1,green,0,0,0,10,,,,,dashcam,T1,test,B,X-T1-LIGHTING-DSH,"Change the lighting in this dashcam still from mixed to sodium vapor. Adjust color temperature, contrast, and brightness throughout the image. Do not change the time of day or weather. Keep all people, vehicles, objects, structures, and signage exactly as they appear. Make it look as photorealistic as possible. Change as little as possible beyond the lighting. Don't change any details of the original photo other than the lighting.",0,,0,,,sodium vapor,,,,,,,,,,,,,,,,,,,,,,,,LIGHTING,,item_00402_dashcam_T1_test_B
bdd100k_22d14e85-86b3de7b,bdd100k,,,1280,720,dashcam_T2_train_has_stop_sign_visible,dashcam_train_T2,night,clear,sodium_vapor,0,empty,0,1,,,0,none,1,1,0,7,,,,,dashcam,T2,train,C,X-T2-REMOVE-SIGN-DSH,"Remove the stop sign located at approximately the intersection ahead from this dashcam still. Fill the area with sky, pole, or background as appropriate. Keep all vehicles, road markings, traffic lights, pedestrians, and other signage exactly as they appear. Make it look as photorealistic as possible. The image should appear as if that sign had never been installed at that location.",0,,0,,,,,the intersection ahead,,,,,,,,,,,,,,,,,,,,,,,REMOVE-SIGN-DSH,item_00365_dashcam_T2_train_C
